Date	SST	U	AirT	Humidity	CC	Prec	SWR	inflow	thermD	MLD	W	Bloom
1999-04-01	1.96217	2.285	4.0975	79.625	0.5416666666666666	0.0	530.6	2.761	-20.75	-21.0	0.0170545871054334	0
1999-04-02	2.09575	2.896041666666666	4.047916666666667	82.52083333333333	0.35	0.0	558.2	2.547	-20.75	-21.0	0.0283232060799362	0
1999-04-03	2.27802	2.4536666666666664	2.879583333333333	72.91666666666667	0.3541666666666667	0.0	558.8	2.351	-20.75	-21.0	0.0051622016353961	0
1999-04-04	2.43629	2.8154583333333334	1.5175	67.79166666666667	0.4125	0.0	558.4	2.1740000000000004	-20.75	-21.0	0.031896408755968	0
1999-04-05	1.3733330965042114	3.858375	4.11625	66.75	0.4875	0.0	605.6	2.014	-20.75	-21.0	0.0246162508050422	0
1999-04-06	2.737185	3.9112916666666666	5.820416666666667	84.875	0.9083333333333332	5.3	310.4	1.87	-20.75	-21.0	0.0066949783101785	0
1999-04-07	2.817085	1.828375	4.02125	94.14166666666668	0.9791666666666666	7.099999999999999	183.8	1.746	-20.75	-21.0	0.0061297542236169	0
1999-04-08	2.9314400000000003	3.940375	4.435	76.02083333333333	0.7625000000000001	0.0	572.0	1.628	-20.75	-21.0	0.0220714650621454	0
1999-04-09	2.043436288833618	8.55725	8.345416666666667	72.08333333333333	0.8875000000000001	0.0	509.1	1.515	-20.75	-21.0	0.0067104964008169	0
1999-04-10	2.3826353549957275	5.233208333333333	8.117916666666666	78.74583333333334	0.8541666666666666	0.0	289.3	1.41	-20.75	-21.0	0.0010787380616368	0
1999-04-11	3.618395	6.479875	5.706666666666667	82.79166666666667	0.9541666666666666	1.2	377.9	1.312	-20.75	-21.0	0.0043814351451495	0
1999-04-12	3.910205	4.381166666666666	2.4520833333333334	76.875	0.9875	2.2	622.5	1.219	-20.75	-21.0	0.0013700839457553	0
1999-04-13	3.886955	3.990875	3.5570833333333334	94.25	1.0	8.1	150.7	1.13	-20.75	-21.0	0.0	0
1999-04-14	3.835415	3.3960000000000004	4.98375	89.09583333333335	0.9541666666666666	5.2	540.3	1.049	-20.75	-21.0	0.0035271259955481	0
1999-04-15	3.4413812160491943	4.065	3.3529166666666668	85.75	0.7083333333333334	0.6	400.3	1.023	-20.75	-21.0	0.003810850760015	0
1999-04-16	4.2205	4.5205416666666665	5.3275	66.95833333333333	0.6958333333333333	0.0	589.6	1.002	-20.75	-21.0	0.0029171956460834	0
1999-04-17	4.234685000000001	4.79525	2.1645833333333333	93.5	0.9791666666666666	23.0	159.5	0.985	-20.75	-21.0	0.0030041378709149	0
1999-04-18	4.29717	4.632791666666667	4.867916666666667	93.625	0.9875	9.9	148.8	0.967	-20.75	-21.0	0.0011274332862978	0
1999-04-19	4.320295	5.4667916666666665	4.346666666666667	84.29166666666667	0.6708333333333334	0.2	551.7	0.947	-20.75	-21.0	0.0011640020601453	0
1999-04-20	3.909504890441896	3.674375	5.0008333333333335	79.83333333333333	0.2916666666666667	0.0	638.4	0.929	-20.75	-21.0	0.002101926403108	0
1999-04-21	4.828795	4.692916666666666	5.30375	79.66666666666667	0.4208333333333333	0.0	681.0	0.914	-20.75	-21.0	0.0037238999161016	0
1999-04-22	4.960355	2.583458333333333	5.553333333333334	86.875	0.9083333333333332	0.0	358.8	0.905	-20.75	-21.0	0.0012484113925534	0
1999-04-23	5.126495	1.407875	6.345833333333334	88.33333333333333	1.0	1.2	549.4	0.905	-20.75	-21.0	0.0316699188352124	0
1999-04-24	5.434795	1.119125	6.859583333333333	92.66666666666669	1.0	0.6	465.2	0.909	-1.3704	-21.0	0.3960826413438424	0
1999-04-25	5.374622344970703	2.2064166666666667	5.775	90.27083333333331	0.5625	0.0	483.3	0.917	-0.5	-1.674598282918058	0.0678964817469815	0
1999-04-26	5.466545	3.6339583333333336	7.390416666666667	75.95833333333333	0.1833333333333333	0.0	678.1	0.927	-3.4334	-21.0	0.45373996923178	0
1999-04-27	5.64275	2.509916666666667	8.2875	70.02499999999999	0.2749999999999999	0.0	689.5	0.935	-8.1153	-21.0	0.1832340058790822	0
1999-04-28	6.165895	3.166125	9.007083333333334	73.65416666666667	0.7125	0.0	370.8	0.944	-1.792	-11.12615345232327	0.4687007806562497	0
1999-04-29	6.879835	5.447958333333333	5.307916666666666	60.44166666666666	0.3083333333333333	0.9	607.1	0.951	-0.5	-11.160686053598	0.3169257073279396	0
1999-04-30	5.944909572601318	4.658541666666667	4.355833333333334	82.27499999999999	0.8041666666666667	2.4	611.6	0.958	-20.75	-21.0	0.0930825128534238	0
1999-05-01	6.956875	3.6619166666666665	4.8625	76.33333333333333	0.6916666666666668	1.2	587.0	0.961	-20.75	-21.0	0.0	0
1999-05-02	7.07629	3.800708333333333	3.4166666666666665	72.0	0.3875	0.2	599.4	0.961	-20.75	-21.0	0.0810269733848152	0
1999-05-03	6.98588	3.456583333333333	3.8775	85.02916666666667	0.8083333333333332	3.6	692.1	0.955	-20.75	-21.0	0.0158973901405107	0
1999-05-04	7.62	2.1651666666666665	5.0425	83.16666666666667	0.5875	2.3	711.0	0.944	-20.75	-21.0	0.0188634251179623	0
1999-05-05	6.51676607131958	2.984125	5.07125	77.16666666666667	0.3291666666666666	0.0	709.0	0.929	-20.75	-21.0	0.4551497504822492	0
1999-05-06	7.781166666666667	2.2062500000000003	7.31625	62.2875	0.25	0.0	679.8	0.91	-20.75	-21.0	0.471136923222466	0
